name,review_count,average_review,food_review,service_review,ambience_review,value_review,price_range,star_1,star_2,star_3,star_4,star_5,restaurant_main_type,star,neighborhood
Altesi Downtown,558,4.5558,4.5,4.4,4.3,4.2,$31 to $50,0,3,8,20,69,Italian,0.0,Greenwich Village and Soho
Altesi Ristorante,390,4.539,4.5,4.5,4.4,4.1,$31 to $50,1,3,8,19,69,Italian,0.0,Upper East Side
American Cut Steakhouse,791,4.6791,4.6,4.6,4.5,4.0,$31 to $50,1,3,4,17,75,Steakhouse,0.0,Greenwich Village and Soho
American Cut Steakhouse Midtown,389,4.6389,4.6,4.5,4.4,3.9,$31 to $50,2,1,7,16,74,Steakhouse,0.0,Gramercy Park and Murray Hill
Amma,1336,4.61336,4.7,4.5,4.1,4.3,$31 to $50,0,1,4,27,68,Indian,0.0,Gramercy Park and Murray Hill
Ammos Estiatorio,3773,4.63773,4.5,4.5,4.4,4.2,$31 to $50,0,2,6,25,67,Seafood,0.0,Gramercy Park and Murray Hill
Anassa Taverna,864,4.5864,4.4,4.2,4.2,4.0,$31 to $50,1,2,8,26,63,Greek,0.0,Gramercy Park and Murray Hill
Aretsky's Patroon,908,4.7908,4.7,4.7,4.6,4.2,$31 to $50,1,1,2,17,79,American,0.0,Gramercy Park and Murray Hill
Armani Ristorante 5th Avenue,1087,4.71087,4.6,4.6,4.6,4.2,$31 to $50,0,2,5,18,75,Italian,0.0,Gramercy Park and Murray Hill
Astor Court,263,4.5263,4.5,4.3,4.7,3.8,$31 to $50,1,4,4,20,71,Other,0.0,Gramercy Park and Murray Hill
Atlantic Grill Near Lincoln Center,5246,4.452459999999999,4.3,4.2,4.2,3.9,$31 to $50,1,4,8,32,55,Seafood,0.0,Upper West Side
ATRIO Wine Bar & Restaurant,215,4.6215,4.6,4.8,4.7,4.1,$31 to $50,3,2,3,19,73,Contemporary American,0.0,
BAAR BAAR,115,4.5115,4.5,4.2,4.6,4.0,$31 to $50,1,4,7,20,68,Indian,0.0,Lower East Side
Bagatelle - NY,429,4.4429,4.3,4.2,4.3,3.9,$31 to $50,3,5,10,17,65,French,0.0,Greenwich Village and Soho
Bann Restaurant,1249,4.61249,4.5,4.5,4.3,4.3,$31 to $50,0,3,4,23,70,Japanese & Koren,0.0,Chelsea and Clinton
Bar Boulud,6814,4.46814,4.4,4.3,4.1,3.9,$30 and under,1,3,8,27,61,French,0.0,Upper West Side
Bar Freud,196,4.4196,4.4,4.2,4.4,4.3,$31 to $50,1,3,11,25,60,Other Europe,0.0,Greenwich Village and Soho
Bar Italia,454,4.6454,4.5,4.5,4.4,4.0,$31 to $50,1,1,7,18,73,Italian,0.0,Upper East Side
Bar Primi,794,4.6794,4.6,4.3,4.5,4.1,$30 and under,1,1,6,18,74,Italian,0.0,Lower East Side
Barano,234,4.7234,4.7,4.6,4.6,4.3,$30 and under,0,1,5,14,80,Italian,0.0,
Barbetta Restaurant,3225,4.23225,4.2,4.2,4.5,3.8,$31 to $50,3,6,11,25,55,Italian,0.0,Chelsea and Clinton
Barbounia,2279,4.62279,4.5,4.3,4.4,4.1,$30 and under,1,2,7,20,70,Mediterranean,0.0,Lower East Side
Barraca,750,4.475,4.3,4.0,4.3,4.0,$31 to $50,2,3,9,24,62,Spanish,0.0,Greenwich Village and Soho
Beauty & Essex- New York,5452,4.65452,4.6,4.5,4.7,4.2,$31 to $50,1,2,5,17,75,Other,0.0,Lower East Side
Becco,18139,4.418139,4.4,4.4,4.1,4.3,$30 and under,1,3,9,27,60,Italian,0.0,Gramercy Park and Murray Hill
Bedford & Co.,379,4.5379,4.4,4.2,4.2,4.1,$31 to $50,0,4,8,22,66,Contemporary American,0.0,Gramercy Park and Murray Hill
